#
# Engine name: 
# Fri Jan 9 13:12:09 2026
#
# Lc= 227.48122 mm	 Rc=  95.82054 mm
# R1=  42.79911 mm	 R2= 229.72193 mm
# bc=  30.00000   	 Rt=  28.53274 mm
# Le= 177.87398 mm	 Re=  74.40579 mm
# Rn=  10.89951 mm
# c1=  21.83236   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  253.42395	   37.62972
  253.82930	   37.77525
  254.23466	   37.92071
  254.64002	   38.06564
  255.04537	   38.21051
  255.45073	   38.35484
  255.85608	   38.49913
  256.26144	   38.64287
  256.66679	   38.78658
  257.07215	   38.92973
  257.47750	   39.07286
  257.88286	   39.21541
  258.28821	   39.35796
  258.69357	   39.49993
  259.09892	   39.64189
  259.50428	   39.78329
  259.90963	   39.92465
  260.31499	   40.06548
  260.72034	   40.20626
  261.12570	   40.34652
  261.53105	   40.48671
  261.93641	   40.62640
  262.34176	   40.76600
  262.74712	   40.90513
  263.15247	   41.04415
  263.55783	   41.18271
  263.96318	   41.32114
  264.36854	   41.45915
  264.77390	   41.59700
  265.17925	   41.73445
  265.58461	   41.87171
  265.98996	   42.00861
  266.39532	   42.14529
  266.80067	   42.28163
  267.20603	   42.41773
  267.61138	   42.55352
  268.01674	   42.68904
  268.42209	   42.82428
  268.82745	   42.95922
  269.23280	   43.09392
  269.63816	   43.22828
  270.04351	   43.36243
  270.44887	   43.49621
  270.85422	   43.62982
  271.25958	   43.76303
  271.66493	   43.89610
  272.07029	   44.02873
  272.47564	   44.16126
  272.88100	   44.29332
  273.28635	   44.42530
  273.69171	   44.55679
  274.09706	   44.68825
  274.50242	   44.81916
  274.90778	   44.95008
  275.31313	   45.08043
  275.71849	   45.21077
  276.12384	   45.34059
  276.52920	   45.47037
  276.93455	   45.59966
  277.33991	   45.72886
  277.74526	   45.85763
  278.15062	   45.98627
  278.55597	   46.11451
  278.96133	   46.24258
  279.36668	   46.37030
  279.77204	   46.49780
  280.17739	   46.62500
  280.58275	   46.75194
  280.98810	   46.87862
  281.39346	   47.00500
  281.79881	   47.13116
  282.20417	   47.25697
  282.60952	   47.38262
  283.01488	   47.50787
  283.42023	   47.63301
  283.82559	   47.75770
  284.23094	   47.88232
  284.63630	   48.00645
  285.04166	   48.13057
  285.44701	   48.25414
  285.85237	   48.37772
  286.25772	   48.50076
  286.66308	   48.62378
  287.06843	   48.74632
  287.47379	   48.86878
  287.87914	   48.99082
  288.28450	   49.11273
  288.68985	   49.23427
  289.09521	   49.35562
  289.50056	   49.47665
  289.90592	   49.59745
  290.31127	   49.71799
  290.71663	   49.83824
  291.12198	   49.95828
  291.52734	   50.07797
  291.93269	   50.19753
  292.33805	   50.31667
  292.74340	   50.43573
  293.14876	   50.55432
  293.55411	   50.67289
  293.95947	   50.79093
  294.36482	   50.90897
  294.77018	   51.02651
  295.17553	   51.14400
  295.58089	   51.26105
  295.98625	   51.37800
  296.39160	   51.49456
  296.79696	   51.61096
  297.20231	   51.72704
  297.60767	   51.84290
  298.01302	   51.95850
  298.41838	   52.07381
  298.82373	   52.18894
  299.22909	   52.30371
  299.63444	   52.41835
  300.03980	   52.53258
  300.44515	   52.64675
  300.85051	   52.76044
  301.25586	   52.87412
  301.66122	   52.98728
  302.06657	   53.10043
  302.47193	   53.21311
